,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"2300 Southern Blvd, Bronx, NY 10460, USA",(718) 367-1010,40.8505949,-73.8769982,Bronx Zoo,ChIJi9JqUYP0wokRLhCVlxy0bgU,4.5
1,"E 64th St, New York, NY 10021, USA",(212) 439-6500,40.767778,-73.9718335,Central Park Zoo,ChIJaWjW_PFYwokRFD8a2YQu12U,4.3
2,"53-51 111th Street Flushing, Corona, NY 11368, USA",(718) 271-1500,40.7439678,-73.84924579999999,Queens Zoo,ChIJr4Vyr9BfwokRwIj7AIr7bzE,4.4
3,"450 Flatbush Ave, Brooklyn, NY 11225, USA",(718) 399-7339,40.6653747,-73.9654138,Prospect Park Zoo,ChIJnWjS-wRbwokRpCq5RGEIH3E,4.4
4,"602 Surf Ave, Brooklyn, NY 11224, USA",(718) 265-3474,40.5742632,-73.9748754,New York Aquarium,ChIJcRMeDzZEwokR3NsXUDpO9UU,4.0
5,"614 Broadway, Staten Island, NY 10310, USA",(718) 442-3100,40.62512399999999,-74.11537,Staten Island Zoo,ChIJjfNxe3BOwokRJWFGqQueVFY,4.4
