,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"New York, NY 10019, USA",(212) 982-2229,40.76777939999999,-73.97446630000002,Victorian Gardens Amusement Park,ChIJbcr95-1YwokRuBMO1wMVL50,4.2
1,"3059 W 12th St, Brooklyn, NY 11224, USA",(718) 372-2592,40.57433839999999,-73.9781885,Deno's Wonder Wheel Amusement Park,ChIJq2dBUzREwokRugdGFafrtIw,4.4
2,"111th St and 55th Ave, Corona, NY 11368, USA",,40.7432968,-73.8492784,Flushing Meadows Carousel,ChIJmbUpINFfwokRIg4fft6_jqI,4.7
3,"5351 111th St, Corona, NY 11368, USA",(718) 788-2676,40.74366,-73.849958,Fantasy Forest Amusement Park,ChIJMU3Q4tBfwokRhVWJiwGK_Yw,4.2
4,"1000 Surf Ave, Brooklyn, NY 11224, USA",,40.5745232,-73.9776108,The Cyclone Roller Coaster Coney Island NY,ChIJa2SY6zVEwokRqbYGuCny2So,4.5
5,"1295 Riegelmann Boardwalk, Brooklyn, NY 11224, USA",(718) 373-5862,40.573933,-73.9803675,Scream Zone at Luna Park,ChIJX-Ps_jREwokRiOsrB0JnZTM,4.4
6,"1824 Shore Pkwy, Brooklyn, NY 11214, USA",(718) 975-2748,40.5906694,-73.99469409999999,Adventurers Amusement Park,ChIJsag5fa9FwokRZXAM9oijWfc,4.0
