,name,formatted_address,rating,types,lat,lng,id,place_id
0,Victorian Gardens Amusement Park,"New York, NY 10019, USA",4.2,"amusement_park, point_of_interest, establishment",40.76777939999999,-73.97446630000002,3a87c22d2097ff671c680532bcf99d5665c2f79d,ChIJbcr95-1YwokRuBMO1wMVL50
1,Deno's Wonder Wheel Amusement Park,"3059 W 12th St, Brooklyn, NY 11224, USA",4.4,"amusement_park, point_of_interest, establishment",40.57433839999999,-73.9781885,90b19ff46230858b415a48c4511e17c216d0caf5,ChIJq2dBUzREwokRugdGFafrtIw
2,Flushing Meadows Carousel,"111th St and 55th Ave, Corona, NY 11368, USA",4.7,"point_of_interest, establishment",40.7432968,-73.8492784,eaa944e92c221b8e6a423b6173fbe59cbedf72ea,ChIJmbUpINFfwokRIg4fft6_jqI
3,Fantasy Forest Amusement Park,"5351 111th St, Corona, NY 11368, USA",4.2,"amusement_park, point_of_interest, establishment",40.74366,-73.849958,f7c2c1dd5e8a13c2d2d4ca828d0f565bba33f212,ChIJMU3Q4tBfwokRhVWJiwGK_Yw
4,The Cyclone Roller Coaster Coney Island NY,"1000 Surf Ave, Brooklyn, NY 11224, USA",4.5,"point_of_interest, establishment",40.5745232,-73.9776108,b7af42fe75abcc334b98175ee7312163a8091999,ChIJa2SY6zVEwokRqbYGuCny2So
5,Scream Zone at Luna Park,"1295 Riegelmann Boardwalk, Brooklyn, NY 11224, USA",4.4,"amusement_park, point_of_interest, establishment",40.573933,-73.9803675,bc829576e14c8b42074bd5199bc1a56a5cd38384,ChIJX-Ps_jREwokRiOsrB0JnZTM
6,Adventurers Amusement Park,"1824 Shore Pkwy, Brooklyn, NY 11214, USA",4.0,"amusement_park, point_of_interest, establishment",40.5906694,-73.99469409999999,1399b4a298f5376d6639f7a7250f847b22aa7c81,ChIJsag5fa9FwokRZXAM9oijWfc
