,attraction__id,attraction__name,attraction__location__lat,attraction__location__lng,attraction__opening__hours,attraction__rating,results__type
91,RrNe_0PReWHXAnjTEXBikQ,Luke's Lobster Brooklyn Bridge Park,40.703590000000005,-73.99410999999999,1100.0,4.0,Seafood
92,9aJ1MVTthZw3QjqoG7mPjg,Rosie's,40.724920000000004,-73.99079,1200.0,4.0,Mexican
93,1Q3oaJahyGRogDWgpo7PIw,Five Leaves,40.72371830945,-73.95159863632,800.0,4.0,American (New)
94,OAqsZMbjv66nOMqlimnYuQ,Uva,40.77216,-73.95555999999999,1600.0,4.0,Italian
95,BprO0tybje6_T6HdT6icyQ,Bunsmith,40.671844482421896,-73.9572525024414,1700.0,4.0,Asian Fusion
96,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,40.746498700000004,-73.8992328,1130.0,4.0,Thai
97,gUJ6pHYd_fp2Ypq377P_vA,Williamsburg Smorgasburg - Saturday,40.721021,-73.962177,1100.0,4.5,Food Stands
98,4U6AEMuTx34o3i84G0Hc0w,Masha and The Bear,40.711978,-73.942403,1300.0,4.5,Russian
99,eS9mTLlWwu_Ap2ROMQWPxg,Chuko,40.680784,-73.967455,1200.0,4.0,Asian Fusion
100,1Q3oaJahyGRogDWgpo7PIw,Five Leaves,40.72371830945,-73.95159863632,800.0,4.0,American (New)
101,OAqsZMbjv66nOMqlimnYuQ,Uva,40.77216,-73.95555999999999,1600.0,4.0,Italian
102,BprO0tybje6_T6HdT6icyQ,Bunsmith,40.671844482421896,-73.9572525024414,1700.0,4.0,Asian Fusion
103,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,40.746498700000004,-73.8992328,1130.0,4.0,Thai
104,gUJ6pHYd_fp2Ypq377P_vA,Williamsburg Smorgasburg - Saturday,40.721021,-73.962177,1100.0,4.5,Food Stands
105,yrXECkTezsI0Twgalc7M-A,Bolivian Llama Party,40.694983,-73.991036,1000.0,4.5,Food Stands
106,6Ct7OeTRn4caY9g0swFBsw,La Contenta,40.71873,-73.98691,1600.0,4.5,Mexican
107,ONQRhDuWv0e9R5xOiI7YAA,Gyu-Kaku Japanese BBQ,40.75908,-73.98989,1130.0,4.0,Japanese
108,bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,40.714166999999996,-73.99880300000001,1030.0,4.0,Chinese
109,lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,40.7184290357839,-73.9916928979573,930.0,4.5,Chinese
110,_saXnBy0Wq2Gb3YusWZhqw,Five Senses,40.747573158626,-73.9863122632311,1000.0,4.0,Korean
111,wfGFM8zvdw9Zs-jxsTdjww,Soju Haus,40.746899,-73.985474,1700.0,4.0,Korean
112,m5tGGjyfjoQ_EOalKoJUAQ,PokéBowl Station,40.68114,-73.97495,1130.0,4.5,Poke
113,v0DwpyNrKeS2ZhfMjVu8lg,CajunSea & Oyster Bar,40.7483352,-73.98677009999999,1130.0,4.0,Cajun/Creole
114,E6Y4ICdoqtYkFilRLfrOHA,Ducks Eatery,40.730625200000006,-73.98462679999999,1700.0,4.0,French
115,clOFor0bFSjse7EUfdRacg,Faro,40.707407,-73.922839,1800.0,4.0,Italian
116,-BOAKHyKKAXE1WhuVpMFkQ,The Good Fork,40.675990000000006,-74.01432,1730.0,4.0,American (New)
117,Wbmqg0TkOVkzNh3HrJ9DIQ,Vietnaam,40.779148101806605,-73.9504165649414,1130.0,4.0,Vietnamese
118,KJFosOrLotvQo_rntg0sjA,Bricolage,40.67792,-73.97975,1100.0,4.0,Vietnamese
119,9AXTJkwXdWaJaQkCjpj6mA,Sunday in Brooklyn,40.714145,-73.965322,830.0,4.0,American (New)
120,sPQJUmqKDoGkEHPhRjS4ag,Poke City,40.69133,-73.99101,1030.0,4.5,Poke
121,zcPWqsiqaPpNh8nJXR4gpw,The Commodore,40.7138257110445,-73.9556050300598,1600.0,4.0,Bars
122,YFvF4r2D-wJOgJAOvanaZQ,Gnoccheria by Luzzo's,40.723315,-73.98313900000001,1700.0,4.0,Italian
123,WG639VkTjmK5dzydd1BBJA,Rubirosa,40.72275,-73.99622,1130.0,4.0,Italian
124,W4hobe10Fy54MKqmLaObEg,Cafe Mogador,40.727258767439,-73.9845085144043,900.0,4.0,Moroccan
125,nrxSzq-VxLqD7aFkE4SH3Q,Cocoron,40.72072360000001,-73.9953191,1200.0,4.0,Japanese
126,EAqXEChadTFNm2flg_Y6IQ,Meet Noodles,40.639790000000005,-74.00546,1100.0,4.0,Noodles
127,v9iDXBSzpwaYHnPA0XkEkw,Simple NYC-Downtown Brooklyn,40.688520000000004,-73.98817,1100.0,5.0,Poke
128,X2C0_I0seTtjW9uL8e8FBw,Don Chingon,40.681043122149404,-73.9752403260395,1600.0,4.5,Mexican
129,eN8Cmf0Vxucyg02NyP7mbw,Father Knows Best,40.6901735,-73.9069755,800.0,4.0,Bars
130,AHVlPpOkiEl9maijGhar-Q,The Meatball Shop,40.736125,-74.00060699999999,1130.0,4.0,Italian
131,XEugUtbw4rRmGr9S1XA-aQ,Alta,40.7345163811398,-73.99833696196829,1730.0,4.0,Tapas Bars
132,AtUxlW7ltZb73ZXMwpkY_g,Sashimi Ramen Express,40.77215,-73.95411,1130.0,4.5,Sushi Bars
133,_hNMRzm0QhR7I41plTbyXw,Nowadays,40.6930436149127,-73.901419658197,1600.0,4.0,Bars
134,BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,40.75269,-73.98465999999999,1100.0,4.0,Indian
135,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,40.72522,-74.00291,800.0,4.0,Bakeries
136,FsuJ7VC5vxX3wcLhFrb97Q,Oiji,40.727270000000004,-73.98585,1800.0,4.5,Korean
137,VDz9n7gwcq51wOAbTBdXxA,The Food Sermon Kitchen,40.6647720336914,-73.9535217285156,1700.0,4.5,Caribbean
138,Drb6I9masZDvxQUVcqE2ww,Ho' Brah a taco joint,40.623006,-74.031548,1100.0,4.0,Mexican
139,7iY35991NhQ1AShJZCNZgA,Sakagura,40.7516467024541,-73.9729489318165,1130.0,4.0,Japanese
140,BYnd0Kbkrjhz0CGKMF1lqg,Modern Love Brooklyn,40.70983,-73.95109000000001,1730.0,4.5,Vegan
141,vec8jeVbbSGzVlStl0Xp_Q,Chikarashi,40.71787,-73.99948,1130.0,4.0,Poke
142,mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,40.791077,-73.973763,1100.0,4.0,Italian
143,wfhMIiMh2A2psCGONOVSlg,Han Dynasty,40.732071999999995,-73.988074,1130.0,4.0,Szechuan
144,ADul90IX8-TdDaciLIS6pA,Petisco Brazuca,40.692485299999994,-73.9431117,1000.0,4.5,Brazilian
145,9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,40.71275,-73.99508,730.0,4.5,Chinese
146,qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,40.74626,-73.98473,1200.0,4.0,Korean
147,nD7Hcq5aaCASbWzc0-Sg3A,Bobwhite Counter,40.7236015861162,-73.9790162460327,1500.0,4.5,Southern
148,xQ445GaWVN5Aa3sFX9OoIg,Buvette,40.732704,-74.004317,700.0,4.0,French
