,name,formatted_address,rating,types,lat,lng,id,place_id
0,Bronx Zoo,"2300 Southern Blvd, Bronx, NY 10460, USA",4.5,"zoo, point_of_interest, establishment",40.8505949,-73.8769982,3ee4872ae045fe0d1b5d37525e0dd63ba4462540,ChIJi9JqUYP0wokRLhCVlxy0bgU
1,Central Park Zoo,"E 64th St, New York, NY 10021, USA",4.3,"zoo, point_of_interest, establishment",40.767778,-73.9718335,f623597bb5e95d518d99e6aa87e7f5056a5f856a,ChIJaWjW_PFYwokRFD8a2YQu12U
2,Queens Zoo,"53-51 111th Street Flushing, Corona, NY 11368, USA",4.4,"zoo, point_of_interest, establishment",40.7439678,-73.84924579999999,b5c0c7d98482ce21d68d4bd6948a85fda8f756e1,ChIJr4Vyr9BfwokRwIj7AIr7bzE
3,Prospect Park Zoo,"450 Flatbush Ave, Brooklyn, NY 11225, USA",4.4,"zoo, point_of_interest, establishment",40.6653747,-73.9654138,88c350d1cffb9e7d805886c219b746cb78f926d3,ChIJnWjS-wRbwokRpCq5RGEIH3E
4,New York Aquarium,"602 Surf Ave, Brooklyn, NY 11224, USA",4.0,"aquarium, point_of_interest, establishment",40.5742632,-73.9748754,8d6c14b576144c082256cf33bcef201794d5fd78,ChIJcRMeDzZEwokR3NsXUDpO9UU
5,Staten Island Zoo,"614 Broadway, Staten Island, NY 10310, USA",4.4,"zoo, point_of_interest, establishment",40.625124,-74.11537,38d6f8d7b1a5deb823b1c39b4aff57aef37092d8,ChIJjfNxe3BOwokRJWFGqQueVFY
