"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types","status"
"602 Surf Ave, Brooklyn, NY 11224, USA","40.5742632","-73.9748754","northeast","40.57560817989272","-73.97412062010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","8d6c14b576144c082256cf33bcef201794d5fd78","New York Aquarium","False","2448","<a href=""https://maps.google.com/maps/contrib/112385749461986717978/photos"">Daniel Alexander Catano</a>","CmRaAAAAnnfrYcMq9BxFGxlAAgpo9TU5Oo4fY-8KucP1kjBU7i-R8HCcknMKjnzGuo9t9YGhhvz0wqL83TYrP4hc9YOHMK_AlL3-QlVweGgG0u3QuR3xCN8-TnFjgwCv3by-5qu3EhA7KTXPHOTpZDcahQw_lHsmGhQnpSsu0b_l4p1S5pXXP-n9ugW8NQ","3264","ChIJcRMeDzZEwokR3NsXUDpO9UU","H2FG+P2 New York","87G8H2FG+P2","4","ChIJcRMeDzZEwokR3NsXUDpO9UU","aquarium","OK"
"","","","southwest","40.57290852010728","-73.97682027989272","","","","","","","","","","","","","","point_of_interest",""
"","","","","","","","","","","","","","","","","","","","establishment",""
